id,subject,chapter,topic,question,optionA,optionB,optionC,optionD,answer,explanation
bio_phy_135,Biology,Human Physiology,Endocrine,Goiter due to deficiency?,Iron,Calcium,Iodine,Protein,C,Iodine deficiency Common trap: picking a value close to the correct one without applying the formula.
bio_phy_136,Biology,Human Physiology,Endocrine,Adrenal gland position?,Above kidney,In brain,In heart,Below liver,A,On kidneys Common trap: picking a value close to the correct one without applying the formula.
bio_phy_137,Biology,Human Physiology,Nervous,Functional unit nervous system?,Neuron,Axon,Dendrite,Glia,A,Neuron Common trap: picking a value close to the correct one without applying the formula.
bio_phy_138,Biology,Human Physiology,Nervous,CNS consists of?,Brain only,Spinal cord only,Brain+Spinal cord,Nerves,C,Brain+cord Common trap: picking a value close to the correct one without applying the formula.
bio_phy_139,Biology,Human Physiology,Nervous,Sympathetic system?,Rest & digest,Fight/flight,Both,None,B,Activates fight-flight Common trap: picking a value close to the correct one without applying the formula.
bio_phy_140,Biology,Human Physiology,Nervous,Cerebrum controls?,Balance,Reflex,Memory,Secretion,C,Memory + intelligence Common trap: picking a value close to the correct one without applying the formula.
bio_plant_141,Biology,Plant Physiology,Photosynthesis,Photosynthesis site?,Chloroplast,Nucleus,ER,Mitochondria,A,Chloroplast Common trap: picking a value close to the correct one without applying the formula.
bio_plant_142,Biology,Plant Physiology,Photosynthesis,Light reaction in?,Stroma,Thylakoid matrix,Thylakoid membrane,Cytoplasm,B,In thylakoid membrane Common trap: picking a value close to the correct one without applying the formula.
bio_plant_143,Biology,Plant Physiology,Photosynthesis,Dark reaction in?,Thylakoid,Stroma,Nucleus,Membrane,B,Calvin cycle in stroma Common trap: picking a value close to the correct one without applying the formula.
bio_plant_144,Biology,Plant Physiology,Photosynthesis,End product?,ATP,Glucose,Protein,Fat,B,Glucose formed Common trap: picking a value close to the correct one without applying the formula.
bio_plant_145,Biology,Plant Physiology,Respiration,Aerobic respiration produces?,2 ATP,4 ATP,36 ATP,18 ATP,C,36 ATP in mitochondria Common trap: picking a value close to the correct one without applying the formula.
bio_plant_146,Biology,Plant Physiology,Respiration,Anaerobic respiration?,O₂ needed,No O₂,Always O₂,Only animals,B,Occurs without O₂ Common trap: picking a value close to the correct one without applying the formula.
bio_plant_147,Biology,Plant Physiology,Respiration,Fermentation gives?,Alcohol,Acid,Both,None,C,Alcohol/acid Common trap: picking a value close to the correct one without applying the formula.
bio_plant_148,Biology,Plant Physiology,Transport,Xylem carries?,Food,Water,Protein,O₂,B,Carries water Common trap: picking a value close to the correct one without applying the formula.
bio_plant_149,Biology,Plant Physiology,Transport,Phloem carries?,Water,Food,O₂,Protein,B,Carries food Common trap: picking a value close to the correct one without applying the formula.
bio_plant_150,Biology,Plant Physiology,Transport,Transpiration mainly?,Through stomata,Cuticle,Stem,Root,A,90% via stomata Common trap: picking a value close to the correct one without applying the formula.
bio_eco_151,Biology,Ecology,Ecosystem,Producers?,Plants,Animals,Fungi,All,A,Plants Common trap: picking a value close to the correct one without applying the formula.
bio_eco_152,Biology,Ecology,Ecosystem,Consumers?,Plants,Herbivores,Decomposers,Soil,B,Consumers feed on producers Common trap: picking a value close to the correct one without applying the formula.
bio_eco_153,Biology,Ecology,Ecosystem,Decomposers?,Fungi,Bacteria,Worms,All,D,All act as decomposers Common trap: picking a value close to the correct one without applying the formula.
bio_eco_154,Biology,Ecology,Ecosystem,Energy flow?,Cyclic,One way,Random,None,B,One way Common trap: picking a value close to the correct one without applying the formula.
bio_eco_155,Biology,Ecology,Ecosystem,10% law by?,Einstein,Lindeman,Darwin,Mendel,B,Lindeman Common trap: picking a value close to the correct one without applying the formula.
bio_eco_156,Biology,Ecology,Pollution,Acid rain from?,CO₂,O₂,SO₂+NOx,H₂O,C,SO₂+NOx gases Common trap: picking a value close to the correct one without applying the formula.
bio_eco_157,Biology,Ecology,Pollution,DDT effect?,Biomagnification,Decomposition,Reduction,Pollination,A,Magnifies up chain Common trap: picking a value close to the correct one without applying the formula.
bio_eco_158,Biology,Ecology,Pollution,Greenhouse gas?,O₂,N₂,CO₂,Ar,C,CO₂ Common trap: picking a value close to the correct one without applying the formula.
bio_eco_159,Biology,Ecology,Biodiversity,Red data book contains?,Rare plants,Endangered species,Medicinal plants,None,B,Endangered species Common trap: picking a value close to the correct one without applying the formula.
bio_eco_160,Biology,Ecology,Biodiversity,Conservation types?,Ex situ,In situ,Both,None,C,Both conservation Common trap: picking a value close to the correct one without applying the formula.
bio_evo_161,Biology,Evolution,Darwin,Darwin wrote?,Origin of Species,Origin of Life,Species Origin,Natural Law,A,On Origin of Species Common trap: picking a value close to the correct one without applying the formula.
bio_evo_162,Biology,Evolution,Darwin,Natural selection favors?,Strongest,Most fit,Weakest,Random,B,Fittest survive Common trap: picking a value close to the correct one without applying the formula.
bio_evo_163,Biology,Evolution,Evidence,Homologous structures?,Bat wing+Human arm,Bird wing+Insect wing,Fish fin+Whale fin,All,A,Same origin Common trap: picking a value close to the correct one without applying the formula.
bio_evo_164,Biology,Evolution,Evidence,Analogous structures?,Bat wing+Human arm,Bird wing+Insect wing,Fish fin+Whale fin,All,B,"Different origin, same function Common trap: picking a value close to the correct one without applying the formula."
bio_evo_165,Biology,Evolution,Evidence,Vestigial organ in human?,Appendix,Leg,Eye,Heart,A,Appendix Common trap: picking a value close to the correct one without applying the formula.
bio_evo_166,Biology,Evolution,Evidence,Fossils provide?,Direct evidence,Indirect evidence,No evidence,None,A,Direct Common trap: picking a value close to the correct one without applying the formula.
bio_evo_167,Biology,Evolution,Evidence,Adaptive radiation ex?,Darwin finches,Horse evolution,Dog evolution,None,A,Darwin finches Common trap: picking a value close to the correct one without applying the formula.
bio_evo_168,Biology,Evolution,Human,First man?,Homo erectus,Homo habilis,Australopithecus,Homo sapiens,B,Homo habilis Common trap: picking a value close to the correct one without applying the formula.
bio_evo_169,Biology,Evolution,Human,Modern man?,Homo erectus,Australopithecus,Homo sapiens,Neanderthal,C,Homo sapiens Common trap: picking a value close to the correct one without applying the formula.
bio_evo_170,Biology,Evolution,Human,Neanderthal extinct?,50k yrs ago,40k yrs ago,10k yrs ago,5k yrs ago,B,~40k yrs ago Common trap: picking a value close to the correct one without applying the formula.
phy_mech_171,Physics,Mechanics,Newton's Laws,Force unit?,Joule,Newton,Pascal,Watt,B,1N=1kg·m/s² Common trap: picking a value close to the correct one without applying the formula.
phy_mech_172,Physics,Mechanics,Newton's Laws,Inertia depends on?,Weight,Mass,Velocity,Energy,B,Mass is measure of inertia Common trap: picking a value close to the correct one without applying the formula.
phy_mech_173,Physics,Mechanics,Work,Work zero if?,F=0,d=0,F⊥d,All,D,Any condition → W=0 Common trap: picking a value close to the correct one without applying the formula.
phy_mech_174,Physics,Mechanics,Work,Work positive if?,Force opposite,Force perpendicular,Force same direction,Force absent,C,F and d same Common trap: picking a value close to the correct one without applying the formula.
phy_mech_175,Physics,Mechanics,Power,SI unit of power?,J/s,Watt,N/s,kg/s,B,Power=W/t=J/s Common trap: picking a value close to the correct one without applying the formula.
phy_mech_176,Physics,Mechanics,Energy,Potential energy?,½mv²,mgh,Fd,ma,B,PE=mgh Common trap: picking a value close to the correct one without applying the formula.
phy_mech_177,Physics,Mechanics,Energy,Law of conservation?,Energy created,Energy destroyed,Energy constant,Energy random,C,Energy cannot be created/destroyed Common trap: picking a value close to the correct one without applying the formula.
phy_mech_178,Physics,Mechanics,Momentum,Impulse unit?,Ns,kg,Pa,N/m,A,Impulse=F×t=Ns Common trap: picking a value close to the correct one without applying the formula.
phy_mech_179,Physics,Mechanics,SHM,Pendulum time period depends on?,g,L,Mass,Amplitude,B,T=2π√(L/g) Common trap: picking a value close to the correct one without applying the formula.
phy_mech_180,Physics,Mechanics,SHM,Amplitude unit?,Hz,m/s²,m,kg,C,Amplitude in meter Common trap: picking a value close to the correct one without applying the formula.
phy_heat_181,Physics,Thermal,Heat,Heat unit?,Watt,Joule,Newton,Henry,B,SI unit J Common trap: picking a value close to the correct one without applying the formula.
phy_heat_182,Physics,Thermal,Heat,Latent heat?,Heat w/o ΔT,Heat with ΔT,Always increases,Not defined,A,Heat absorbed/released w/o ΔT Common trap: picking a value close to the correct one without applying the formula.
phy_heat_183,Physics,Thermal,Heat,Specific heat water?,4200 J/kgK,1000 J/kgK,100 J/kgK,200 J/kgK,A,#ERROR!
phy_heat_184,Physics,Thermal,Thermo,Second law?,Entropy increases,Energy destroyed,Entropy decreases,Heat lost,A,Entropy ↑ in isolated system Common trap: picking a value close to the correct one without applying the formula.
phy_heat_185,Physics,Thermal,Thermo,Carnot engine max efficiency depends on?,Fuel,Temps only,Gas type,Entropy,B,η=1–Tc/Th Common trap: picking a value close to the correct one without applying the formula.
phy_heat_186,Physics,Thermal,Thermo,Ideal gas equation?,PV=nRT,PV=nT,R=PV/T,n=PV/RT,A,Equation of state Common trap: picking a value close to the correct one without applying the formula.
phy_heat_187,Physics,Thermal,Thermo,Absolute zero temp?,–100°C,–273°C,0°C,273°C,B,–273°C Common trap: picking a value close to the correct one without applying the formula.
phy_heat_188,Physics,Thermal,Thermo,Boyle’s law?,P∝1/V,P∝V,P∝T,P∝m,A,"At constant T, PV=const Common trap: picking a value close to the correct one without applying the formula."
phy_heat_189,Physics,Thermal,Thermo,Charles law?,V∝T,V∝1/T,V∝P,V∝m,A,V/T=const Common trap: picking a value close to the correct one without applying the formula.
phy_heat_190,Physics,Thermal,Thermo,Avogadro’s law?,V∝n,V∝m,V∝ρ,V∝T,A,Equal vols → equal moles Common trap: picking a value close to the correct one without applying the formula.
phy_wave_191,Physics,Waves,Sound,Ultrasound use?,Imaging,Heating,Light,All,A,Medical imaging Common trap: picking a value close to the correct one without applying the formula.
phy_wave_192,Physics,Waves,Sound,Sonar uses?,Microwave,Infrared,Ultrasound,Visible,C,Sonar=ultrasonic Common trap: picking a value close to the correct one without applying the formula.
phy_wave_193,Physics,Waves,Sound,dB scale is?,Linear,Logarithmic,Exponential,Inverse,B,Logarithmic scale Common trap: picking a value close to the correct one without applying the formula.
phy_wave_194,Physics,Waves,Sound,Pitch depends on?,Frequency,Amplitude,Velocity,Power,A,Higher freq=high pitch Common trap: picking a value close to the correct one without applying the formula.
phy_wave_195,Physics,Waves,Sound,Loudness depends on?,Frequency,Amplitude,Phase,Wavelength,B,∝Amplitude² Common trap: picking a value close to the correct one without applying the formula.
phy_wave_196,Physics,Waves,Sound,Echo min distance?,8m,17m,50m,5m,B,≥17m at 340m/s Common trap: picking a value close to the correct one without applying the formula.
phy_wave_197,Physics,Waves,Sound,Speed of sound air?,343 m/s,300 m/s,200 m/s,400 m/s,A,≈343 m/s Common trap: picking a value close to the correct one without applying the formula.
phy_wave_198,Physics,Waves,Sound,Speed depends on?,Medium only,Freq only,Amplitude only,All,A,Only medium Common trap: picking a value close to the correct one without applying the formula.
phy_wave_199,Physics,Waves,Sound,Noise pollution measured in?,Watt,Hz,dB,Pa,C,Decibel Common trap: picking a value close to the correct one without applying the formula.
phy_wave_200,Physics,Waves,Sound,Resonance occurs when?,f=f₀,f≠f₀,No vibration,Random,A,Natural freq matched Common trap: picking a value close to the correct one without applying the formula.
phy_opt_201,Physics,Optics,Reflection,Plane mirror image?,Real,Erect,Virtual,Inverted,C,Always virtual erect Common trap: picking a value close to the correct one without applying the formula.
phy_opt_202,Physics,Optics,Reflection,Spherical mirror focal length=?,R/2,R,R/4,2R,A,f=R/2 Common trap: picking a value close to the correct one without applying the formula.
phy_opt_203,Physics,Optics,Reflection,Convex mirror used in?,Headlights,Rear-view mirrors,Microscope,All,B,Rear-view mirrors Common trap: picking a value close to the correct one without applying the formula.
phy_opt_204,Physics,Optics,Refraction,Refractive index formula?,n=c/v,n=v/c,n=1/c,n=c×v,A,n=c/v Common trap: picking a value close to the correct one without applying the formula.
phy_opt_205,Physics,Optics,Refraction,Lens used in myopia?,Convex,Concave,Cylindrical,Bifocal,B,Concave Common trap: picking a value close to the correct one without applying the formula.
phy_opt_206,Physics,Optics,Refraction,Lens used in hypermetropia?,Concave,Convex,Prism,None,B,Convex Common trap: picking a value close to the correct one without applying the formula.
phy_opt_207,Physics,Optics,Lenses,Power unit?,Newton,Dioptre,Pascal,Watt,B,P=100/f cm Common trap: picking a value close to the correct one without applying the formula.
phy_opt_208,Physics,Optics,Lenses,Convex lens image may be?,Real only,Virtual only,Both,None,C,Both possible Common trap: picking a value close to the correct one without applying the formula.
phy_opt_209,Physics,Optics,Lenses,Magnifying glass?,Convex,Concave,Plane,Prism,A,Uses convex lens Common trap: picking a value close to the correct one without applying the formula.
phy_opt_210,Physics,Optics,Lenses,Microscope objective?,Short focal,Long focal,Both,None,A,Short f Common trap: picking a value close to the correct one without applying the formula.
phy_ele_211,Physics,Electricity,Current,SI unit current?,Ampere,Volt,Ohm,Coulomb,A,Unit=A Common trap: picking a value close to the correct one without applying the formula.
phy_ele_212,Physics,Electricity,Current,Ohm’s law?,V=IR,I=VR,R=VI,V=I/R,A,V=IR Common trap: picking a value close to the correct one without applying the formula.
phy_ele_213,Physics,Electricity,Current,Resistivity symbol?,σ,ρ,ε,μ,B,ρ=resistivity Common trap: picking a value close to the correct one without applying the formula.
phy_ele_214,Physics,Electricity,Current,Conductivity symbol?,σ,ρ,μ,ε,A,σ=1/ρ Common trap: picking a value close to the correct one without applying the formula.
phy_ele_215,Physics,Electricity,Current,Superconductor resistivity?,Zero,∞,High,Low,A,Zero resistance Common trap: picking a value close to the correct one without applying the formula.
phy_ele_216,Physics,Electricity,Electrostatics,Charge unit?,Coulomb,Volt,Ohm,Ampere,A,SI unit=C Common trap: picking a value close to the correct one without applying the formula.
phy_ele_217,Physics,Electricity,Electrostatics,Unit of potential?,Volt,Watt,Newton,Pascal,A,Potential in volt Common trap: picking a value close to the correct one without applying the formula.
phy_ele_218,Physics,Electricity,Electrostatics,Capacitance depends on?,Area,Distance,Dielectric,All,D,C∝A/d×ε Common trap: picking a value close to the correct one without applying the formula.
phy_ele_219,Physics,Electricity,Electrostatics,1μF= ?,10⁻⁶F,10⁻³F,10⁻⁹F,10⁻¹²F,A,Microfarad=10⁻⁶F Common trap: picking a value close to the correct one without applying the formula.
phy_ele_220,Physics,Electricity,Electrostatics,Gauss’s law?,Φ=Q/ε₀,Φ=Q×ε₀,Φ=E/A,Φ=0,A,Φ=Q/ε₀ Common trap: picking a value close to the correct one without applying the formula.
phy_mag_221,Physics,Magnetism,Magnet,Poles exist?,Isolated,Dipole,Always monopole,Random,B,Always dipole Common trap: picking a value close to the correct one without applying the formula.
phy_mag_222,Physics,Magnetism,Magnet,SI unit field?,Tesla,Weber,Henry,Coulomb,A,Tesla Common trap: picking a value close to the correct one without applying the formula.
phy_mag_223,Physics,Magnetism,Magnet,Compass works due to?,Earth’s electric field,Earth’s magnetic field,Gravity,Poles,B,Earth field Common trap: picking a value close to the correct one without applying the formula.
phy_mag_224,Physics,Magnetism,Electromagnetism,Fleming’s RH rule?,Generator,Motor,Transformer,Induction,A,Gives induced current direction Common trap: picking a value close to the correct one without applying the formula.
phy_mag_225,Physics,Magnetism,Electromagnetism,Fleming’s LH rule?,Generator,Motor,Induction,AC,B,For motors Common trap: picking a value close to the correct one without applying the formula.
phy_mag_226,Physics,Magnetism,Electromagnetism,Transformer step-up?,↑V,↓V,Constant V,AC→DC,A,Increases voltage Common trap: picking a value close to the correct one without applying the formula.
phy_mag_227,Physics,Magnetism,Electromagnetism,Transformer step-down?,↑V,↓V,Constant,None,B,Reduces voltage Common trap: picking a value close to the correct one without applying the formula.
phy_mag_228,Physics,Magnetism,Electromagnetism,Inductor opposes?,Current,Voltage,Change in current,Change in voltage,C,Lenz’s law Common trap: picking a value close to the correct one without applying the formula.
phy_mag_229,Physics,Magnetism,Electromagnetism,SI unit inductance?,Henry,Weber,Tesla,Coulomb,A,Henry Common trap: picking a value close to the correct one without applying the formula.
phy_mag_230,Physics,Magnetism,Electromagnetism,SI unit magnetic moment?,Am²,Tesla,Weber,Watt,A,Am² Common trap: picking a value close to the correct one without applying the formula.
phy_mod_231,Physics,Modern Physics,Photoelectric,Depends on?,Frequency,Intensity,Both,None,A,Freq above threshold Common trap: picking a value close to the correct one without applying the formula.
phy_mod_232,Physics,Modern Physics,Photoelectric,Work function unit?,Joule,Watt,Volt,Coulomb,A,Energy per electron Common trap: picking a value close to the correct one without applying the formula.
phy_mod_233,Physics,Modern Physics,Photoelectric,Einstein eqn?,hf=φ+KE,hf=φ–KE,hf=KE,hf=φ,B,hf=φ+KE Common trap: picking a value close to the correct one without applying the formula.
phy_mod_234,Physics,Modern Physics,Atoms,Bohr radius unit?,m,cm,Å,mm,C,In Å Common trap: picking a value close to the correct one without applying the formula.
phy_mod_235,Physics,Modern Physics,Atoms,Hydrogen spectrum series?,Lyman UV,Balmer visible,Paschen IR,All,D,All series Common trap: picking a value close to the correct one without applying the formula.
phy_mod_236,Physics,Modern Physics,Nuclear,Half-life means?,50% nuclei decay,25% nuclei decay,100% nuclei decay,Double activity,A,50% nuclei decay Common trap: picking a value close to the correct one without applying the formula.
phy_mod_237,Physics,Modern Physics,Nuclear,Binding energy from?,Mass defect,Charge,Mass number,Isotope,A,Δm→Eb Common trap: picking a value close to the correct one without applying the formula.
phy_mod_238,Physics,Modern Physics,Nuclear,Nuclear fission splits?,Light nuclei,Heavy nuclei,Hydrogen,Helium,B,Heavy nuclei split Common trap: picking a value close to the correct one without applying the formula.
phy_mod_239,Physics,Modern Physics,Nuclear,Fusion combines?,Light nuclei,Heavy nuclei,Protons+Electrons,Isotopes,A,Light nuclei combine Common trap: picking a value close to the correct one without applying the formula.
phy_mod_240,Physics,Modern Physics,Semiconductors,PN junction current?,Forward biased,Reverse biased,Both,None,A,Current in forward bias Common trap: picking a value close to the correct one without applying the formula.
chem_phy_201,Chemistry,Physical Chemistry,Thermo,State function?,Work,Heat,Enthalpy,Path,C,Depends on initial/final state Common trap: picking a value close to the correct one without applying the formula.
chem_phy_202,Chemistry,Physical Chemistry,Thermo,Extensive property?,Temperature,Pressure,Mass,Density,C,Mass depends on amount Common trap: picking a value close to the correct one without applying the formula.
chem_phy_203,Chemistry,Physical Chemistry,Thermo,Intensive property?,Mass,Volume,Pressure,Energy,C,Independent of amount Common trap: picking a value close to the correct one without applying the formula.
chem_phy_204,Chemistry,Physical Chemistry,Thermo,ΔG<0 means?,Non-spontaneous,Spontaneous,Equilibrium,Impossible,B,Negative G → spontaneous Common trap: picking a value close to the correct one without applying the formula.
chem_phy_205,Chemistry,Physical Chemistry,Thermo,Exothermic reaction gives?,ΔH>0,ΔH<0,ΔH=0,Unpredictable,B,Exothermic releases heat Common trap: picking a value close to the correct one without applying the formula.
chem_phy_206,Chemistry,Physical Chemistry,Thermo,Isobaric process?,P const,V const,T const,All,A,Pressure constant Common trap: picking a value close to the correct one without applying the formula.
chem_phy_207,Chemistry,Physical Chemistry,Thermo,Isochoric process?,V const,P const,T const,None,A,Volume constant Common trap: picking a value close to the correct one without applying the formula.
chem_phy_208,Chemistry,Physical Chemistry,Equilibrium,Kp dimensionless when?,Δn=0,Δn=1,Δn=2,Δn≠0,A,Δn=0 Common trap: picking a value close to the correct one without applying the formula.
chem_phy_209,Chemistry,Physical Chemistry,Equilibrium,Haber process for?,NH₃,H₂O,CO₂,CH₄,A,N₂+3H₂→NH₃ Common trap: picking a value close to the correct one without applying the formula.
chem_phy_210,Chemistry,Physical Chemistry,Equilibrium,Contact process gives?,HNO₃,H₂SO₄,HCl,NH₃,B,SO₃→H₂SO₄ Common trap: picking a value close to the correct one without applying the formula.
chem_phy_211,Chemistry,Physical Chemistry,Kinetics,Unit of k for zero order?,mol·L⁻¹·s⁻¹,L·mol⁻¹·s⁻¹,s⁻¹,dimensionless,A,[Rate]=[conc]/t Common trap: picking a value close to the correct one without applying the formula.
chem_phy_212,Chemistry,Physical Chemistry,Kinetics,Half-life ∝ for 1st order?,[A]₀,ln[A],1/k,Zero order only,C,t½=0.693/k Common trap: picking a value close to the correct one without applying the formula.
chem_phy_213,Chemistry,Physical Chemistry,Kinetics,Activation energy unit?,J,J·mol⁻¹,Volt,Watt,B,Ea in kJ/mol or J/mol Common trap: picking a value close to the correct one without applying the formula.
chem_phy_214,Chemistry,Physical Chemistry,Kinetics,Catalyst effect?,Changes equilibrium,Changes ΔH,Lowers Ea,Increases Ea,C,Speeds by lowering Ea Common trap: picking a value close to the correct one without applying the formula.
chem_phy_215,Chemistry,Physical Chemistry,Electrochem,Electrolyte conducts due to?,Electrons,Ions,Protons,Neutrons,B,Free ions Common trap: picking a value close to the correct one without applying the formula.
chem_phy_216,Chemistry,Physical Chemistry,Electrochem,Electrolysis of NaCl gives at cathode?,Cl₂,H₂,Na,O₂,B,H₂ formed Common trap: picking a value close to the correct one without applying the formula.
chem_phy_217,Chemistry,Physical Chemistry,Electrochem,Standard electrode potential measured vs?,Calomel electrode,SHE,Copper electrode,Zn electrode,B,Standard hydrogen electrode Common trap: picking a value close to the correct one without applying the formula.
chem_phy_218,Chemistry,Physical Chemistry,Electrochem,Nernst equation relates?,E to conc,E to pH,E to volume,E to ΔH,A,E=E°–0.059/n logQ Common trap: picking a value close to the correct one without applying the formula.
chem_phy_219,Chemistry,Physical Chemistry,Electrochem,Primary cell?,Rechargeable,Non-rechargeable,Both,None,B,One-time use Common trap: picking a value close to the correct one without applying the formula.
chem_phy_220,Chemistry,Physical Chemistry,Electrochem,Fuel cell uses?,H₂+O₂,CH₄,N₂,O₂,A,H₂ fuel cell Common trap: picking a value close to the correct one without applying the formula.
chem_org_221,Chemistry,Organic Chemistry,Hydrocarbons,Cis-trans isomerism in?,Alkanes,Alkenes,Alkynes,Aromatic,B,Alkenes due to double bond Common trap: picking a value close to the correct one without applying the formula.
chem_org_222,Chemistry,Organic Chemistry,Hydrocarbons,Alkyne terminal test?,Baeyer’s test,Ammoniacal Cu₂Cl₂,Fehling’s,Tollen’s,B,Forms red ppt Common trap: picking a value close to the correct one without applying the formula.
chem_org_223,Chemistry,Organic Chemistry,Hydrocarbons,Aromatic substitution example?,Nitration,Halogenation,Sulfonation,All,D,All electrophilic substitutions Common trap: picking a value close to the correct one without applying the formula.
chem_org_224,Chemistry,Organic Chemistry,Hydrocarbons,Alkane reacts by?,Substitution,Addition,Elimination,Polymerization,A,Free radical substitution Common trap: picking a value close to the correct one without applying the formula.
chem_org_225,Chemistry,Organic Chemistry,Alcohols,Ethylene hydration gives?,Methanol,Ethanol,Propanol,Butanol,B,C₂H₄+H₂O→C₂H₅OH Common trap: picking a value close to the correct one without applying the formula.
chem_org_226,Chemistry,Organic Chemistry,Alcohols,Lucas reagent for?,Amines,Alcohols,Aldehydes,Alkanes,B,Classify alcohols Common trap: picking a value close to the correct one without applying the formula.
chem_org_227,Chemistry,Organic Chemistry,Aldehydes,Formaldehyde used in?,Fertilizers,Plastics,Resins,All,D,In plastics/resins Common trap: picking a value close to the correct one without applying the formula.
chem_org_228,Chemistry,Organic Chemistry,Aldehydes,Ketone oxidation product?,Acid,Alcohol,Amine,Ester,A,Strong oxidant → acids Common trap: picking a value close to the correct one without applying the formula.
chem_org_229,Chemistry,Organic Chemistry,Aldehydes,Aldol condensation needs?,Strong acid,Base catalyst,Heat,UV,B,Base catalyzed Common trap: picking a value close to the correct one without applying the formula.
chem_org_230,Chemistry,Organic Chemistry,Aldehydes,Silver mirror test detects?,Ketone,Aldehyde,Alcohol,Phenol,B,Tollen’s reagent Common trap: picking a value close to the correct one without applying the formula.
chem_org_231,Chemistry,Organic Chemistry,Amines,Diazonium stable at?,0–5°C,25°C,100°C,50°C,A,Stable low temp Common trap: picking a value close to the correct one without applying the formula.
chem_org_232,Chemistry,Organic Chemistry,Amines,Aniline color with Br₂?,White,Red,Brown,Colorless,C,Brown ppt Common trap: picking a value close to the correct one without applying the formula.
chem_org_233,Chemistry,Organic Chemistry,Amines,Primary amine test?,Carbylamine,Lucas,Silver mirror,Baeyer,A,Carbylamine Common trap: picking a value close to the correct one without applying the formula.
chem_org_234,Chemistry,Organic Chemistry,Aromatic,Benzene hybridization?,sp,sp²,sp³,sp³d,B,Planar sp² Common trap: picking a value close to the correct one without applying the formula.
chem_org_235,Chemistry,Organic Chemistry,Aromatic,Electrophilic substitution in benzene?,π-electrons,σ-bonds,Protons,Neutrons,A,π-cloud attacked Common trap: picking a value close to the correct one without applying the formula.
chem_org_236,Chemistry,Organic Chemistry,Aromatic,Phenol acidic due to?,–OH group,Resonance,Both,None,C,Resonance stabilizes anion Common trap: picking a value close to the correct one without applying the formula.
chem_org_237,Chemistry,Organic Chemistry,Polymers,Monomer of PVC?,C₂H₂,C₂H₄,CH₂=CHCl,C₆H₆,C,Vinyl chloride Common trap: picking a value close to the correct one without applying the formula.
chem_org_238,Chemistry,Organic Chemistry,Polymers,"Nylon-6,6 monomers?",Adipic acid+Hexamethylene diamine,Caprolactam,Ethylene glycol+Terephthalic acid,Phenol+Aldehyde,A,Polyamide Common trap: picking a value close to the correct one without applying the formula.
chem_org_239,Chemistry,Organic Chemistry,Biomolecules,Disaccharide?,Glucose,Maltose,Fructose,Galactose,B,Maltose Common trap: picking a value close to the correct one without applying the formula.
chem_org_240,Chemistry,Organic Chemistry,Biomolecules,Protein bond?,Hydrogen bond,Peptide bond,Glycosidic bond,Disulfide bond,B,Peptide bonds link amino acids Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_241,Chemistry,Inorganic Chemistry,Periodic,Atomic radius trend?,↓Group ↑,Across period ↓,Across period ↑,Both A+B,D,"↓group ↑, across ↓ Common trap: picking a value close to the correct one without applying the formula."
chem_inorg_242,Chemistry,Inorganic Chemistry,Periodic,Ionization energy across period?,Increases,Decreases,Constant,Random,A,Increases Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_243,Chemistry,Inorganic Chemistry,Periodic,Electronegativity group trend?,Decreases,Increases,Constant,Random,A,Decreases down Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_244,Chemistry,Inorganic Chemistry,S-block,Na stored under?,Oil,Water,Alcohol,Acid,A,Prevents reaction Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_245,Chemistry,Inorganic Chemistry,S-block,CaCO₃ called?,Gypsum,Lime,Marble,Chalk,D,CaCO₃ common chalk Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_246,Chemistry,Inorganic Chemistry,S-block,Mg used in?,Steel,Alloy,Photosynthesis,Engines,B,Alloys Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_247,Chemistry,Inorganic Chemistry,P-block,NH₃ shape?,Linear,Trigonal planar,Trigonal pyramidal,Tetrahedral,C,sp³ lone pair Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_248,Chemistry,Inorganic Chemistry,P-block,CO₂ shape?,Linear,Bent,Tetrahedral,Planar,A,sp hybridized linear Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_249,Chemistry,Inorganic Chemistry,P-block,SO₂ nature?,Linear,Bent,Planar,Tetrahedral,B,Bent Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_250,Chemistry,Inorganic Chemistry,P-block,Ozone molecule shape?,Linear,Angular,Tetrahedral,Planar,B,Ozone bent Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_251,Chemistry,Inorganic Chemistry,D-block,Transition metals show?,Color,Variable oxidation,Complexes,All,D,All properties Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_252,Chemistry,Inorganic Chemistry,D-block,Zn not transition?,Full d-orbital,Empty p-orbital,Large radius,Low density,A,d¹⁰ stable Common trap: picking a value close to the correct one without applying the formula.
chem_inorg_253,Chemistry,Inorganic Chemistry,D-block,Fe oxidation states?,+1/+2,+2/+3,+3/+4,+4/+5,B,"Fe²⁺, Fe³⁺ common Common trap: picking a value close to the correct one without applying the formula."
